,Scientific Name,Common Name,Species Code,Population Code,Lead Region,Federal Listing Status,Where Listed
540,Cottus specus,Grotto Sculpin,E0AC,V01,3,Endangered,Wherever found
541,Cranichis ricartii,No common name,Q3A8,P01,4,Endangered,Wherever found
542,Craseonycteris thonglongyai,Bumblebee bat,A09X,V01,Foreign,Endangered,Wherever found
543,Crax alberti,Blue-billed curassow,B0BX,V01,Foreign,Endangered,Wherever found
544,Crax blumenbachii,Red-billed curassow,B040,V01,Foreign,Endangered,Wherever found
545,Crenichthys baileyi baileyi,White River springfish,E04U,V01,8,Endangered,Wherever found
546,Crenichthys baileyi grandis,Hiko White River springfish,E04Q,V01,8,Endangered,Wherever found
547,Crenichthys nevadae,Railroad Valley springfish,E04T,V01,8,Threatened,Wherever found
548,Crescentia portoricensis,Higuero de sierra,Q27R,P01,4,Endangered,Wherever found
549,Crocodylus acutus,American crocodile,C02J,V01,4,Threatened,U.S.A. (FL)
550,Crocodylus acutus,American crocodile,C02J,V02,Foreign,Endangered,"Wherever found, except in U.S.A. (FL)"
551,Crocodylus cataphractus,African slender-snouted crocodile,C00Q,V01,Foreign,Endangered,Wherever found
552,Crocodylus intermedius,Orinoco crocodile,C008,V01,Foreign,Endangered,Wherever found
553,Crocodylus niloticus,Nile crocodile,C007,V01,Foreign,Threatened,Wherever found
554,Crocodylus novaeguineae mindorensis,Philippine crocodile,C014,V01,Foreign,Endangered,Wherever found
555,Crocodylus palustris kimbula,Ceylon mugger crocodile,C011,V01,Foreign,Endangered,Wherever found
556,Crocodylus palustris palustris,Mugger crocodile,C013,V01,Foreign,Endangered,Wherever found
557,Crocodylus porosus,Saltwater crocodile,C02K,V01,Foreign,Endangered,"Wherever found, except Papua New Guinea and Australia"
558,Crocodylus porosus,Saltwater crocodile,C02K,V02,Foreign,Threatened,Australia
559,Crocodylus rhombifer,Cuban crocodile,C005,V01,Foreign,Endangered,Wherever found
560,Crocodylus siamensis,Siamese crocodile,C015,V01,Foreign,Endangered,Wherever found
561,Crossoptilon crossoptilon,White eared pheasant,B042,V01,Foreign,Endangered,Wherever found
562,Crossoptilon mantchuricum,Brown eared pheasant,B02P,V01,Foreign,Endangered,Wherever found
563,Crotalaria avonensis,Avon Park harebells,Q31F,P01,4,Endangered,Wherever found
564,Crotalus unicolor,Aruba Island rattlesnake,C035,V01,Foreign,Threatened,Wherever found
565,Crotalus willardi obscurus,New Mexican ridge-nosed rattlesnake,C01S,V01,2,Threatened,Wherever found
566,Cryptantha crassipes,Terlingua Creek cat's-eye,Q27U,P01,2,Endangered,Wherever found
567,Cryptobranchus alleganiensis bishopi,Ozark Hellbender,D032,V01,3,Endangered,Wherever found
568,Crystallaria cincotta,diamond Darter,E014,V01,5,Endangered,Wherever found
569,Ctenitis squamigera,Pauoa,S01I,P01,1,Endangered,Wherever found
570,Cucurbita okeechobeensis ssp. okeechobeensis,Okeechobee gourd,Q280,P01,4,Endangered,Wherever found
571,Cumberlandia monodonta,Spectaclecase (mussel),F00X,I01,3,Endangered,Wherever found
572,Cuon alpinus,Dhole,A00Z,V01,Foreign,Endangered,Wherever found
573,Cupressus abramsiana,Santa Cruz cypress,R005,P01,8,Threatened,Wherever found
574,Cupressus goveniana ssp. goveniana,Gowen cypress,R00A,P01,8,Threatened,Wherever found
575,Cyanea acuminata,Haha,Q3GJ,P01,1,Endangered,Wherever found
576,Cyanea asarifolia,Haha,Q31J,P01,1,Endangered,Wherever found
577,Cyanea asplenifolia,Haha,Q1V0,P01,1,Endangered,Wherever found
578,Cyanea calycina,Haha,Q1LP,P01,1,Endangered,Wherever found
579,Cyanea copelandii ssp. copelandii,Haha,Q31K,P01,1,Endangered,Wherever found
580,Cyanea copelandii ssp. haleakalaensis,Haha,Q3GV,P01,1,Endangered,Wherever found
581,Cyanea crispa,haha,Q1V1,P01,1,Endangered,Wherever found
582,Cyanea dolichopoda,Haha,Q3MS,P01,1,Endangered,Wherever found
583,Cyanea dunbariae,haha,Q31L,P01,1,Endangered,Wherever found
584,Cyanea duvalliorum,haha,Q3NS,P01,1,Endangered,Wherever found
585,Cyanea eleeleensis,Haha,Q3HA,P01,1,Endangered,Wherever found
586,Cyanea gibsonii,haha,Q2SU,P01,1,Endangered,Wherever found
587,Cyanea glabra,Haha,Q31M,P01,1,Endangered,Wherever found
588,Cyanea grimesiana ssp. grimesiana,Haha,Q1V2,P01,1,Endangered,Wherever found
589,Cyanea grimesiana ssp. obatae,Haha,Q2SR,P01,1,Endangered,Wherever found
590,Cyanea hamatiflora ssp. carlsonii,Haha,Q2SS,P01,1,Endangered,Wherever found
591,Cyanea hamatiflora ssp. hamatiflora,Haha,Q3GW,P01,1,Endangered,Wherever found
592,Cyanea horrida,haha nui,Q3NT,P01,1,Endangered,Wherever found
593,Cyanea humboldtiana,Haha,Q0IN,P01,1,Endangered,Wherever found
594,Cyanea kauaulaensis,No common name,Q3OI,P01,1,Endangered,Wherever found
595,Cyanea kolekoleensis,Haha,Q3MT,P01,1,Endangered,Wherever found
596,Cyanea koolauensis,Haha,Q3GP,P01,1,Endangered,Wherever found
597,Cyanea kuhihewa,Haha,Q3H2,P01,1,Endangered,Wherever found
598,Cyanea kunthiana,Haha,Q0IO,P01,1,Endangered,Wherever found
599,Cyanea lanceolata,Haha,Q0IP,P01,1,Endangered,Wherever found
600,Cyanea lobata,Haha,Q2ST,P01,1,Endangered,Wherever found
601,Cyanea longiflora,Haha,Q3GQ,P01,1,Endangered,Wherever found
602,Cyanea magnicalyx,haha,Q3NU,P01,1,Endangered,Wherever found
603,Cyanea mannii,Haha,Q31P,P01,1,Endangered,Wherever found
604,Cyanea maritae,haha,Q3NV,P01,1,Endangered,Wherever found
605,Cyanea marksii,Haha,Q0IS,P01,1,Endangered,Wherever found
606,Cyanea mauiensis,haha,Q3NW,P01,1,Endangered,Wherever found
607,Cyanea mceldowneyi,Haha,Q1V3,P01,1,Endangered,Wherever found
608,Cyanea munroi,haha,Q3NX,P01,1,Endangered,Wherever found
609,Cyanea obtusa,Haha,Q31Q,P01,1,Endangered,Wherever found
610,Cyanea pinnatifida,Haha,Q284,P01,1,Endangered,Wherever found
611,Cyanea platyphylla,`aku`aku,Q285,P01,1,Endangered,Wherever found
612,Cyanea procera,Haha,Q31S,P01,1,Endangered,Wherever found
613,Cyanea profuga,Haha,Q31T,P01,1,Endangered,Wherever found
614,Cyanea purpurellifolia,Haha,Q1LR,P01,1,Endangered,Wherever found
615,Cyanea recta,Haha,Q31V,P01,1,Threatened,Wherever found
616,Cyanea remyi,Haha,Q3GK,P01,1,Endangered,Wherever found
617,Cyanea rivularis,Haha,Q0LV,P01,1,Endangered,Wherever found
618,Cyanea shipmanii,Haha,Q1V4,P01,1,Endangered,Wherever found
619,Cyanea solanacea,Popolo,Q0IV,P01,1,Endangered,Wherever found
620,Cyanea stictophylla,Haha,Q286,P01,1,Endangered,Wherever found
621,Cyanea st.-johnii,Haha,Q1V5,P01,1,Endangered,Wherever found
622,Cyanea superba,Haha,Q1V6,P01,1,Endangered,Wherever found
623,Cyanea tritomantha,`aku,Q0IX,P01,1,Endangered,Wherever found
624,Cyanea truncata,Haha,Q31W,P01,1,Endangered,Wherever found
625,Cyanea undulata,Haha,Q31X,P01,1,Endangered,Wherever found
626,Cyanopsitta spixii,Little blue macaw,B058,V01,Foreign,Endangered,Wherever found
627,Cyanoramphus auriceps forbesi,Forbes' parakeet,B02A,V01,Foreign,Endangered,Wherever found
628,Cyanoramphus cookii (=novaezelandiae c.),Norfolk Island parakeet,B06G,V01,Foreign,Endangered,Wherever found
629,Cyathea dryopteroides,Elfin tree fern,S01J,P01,4,Endangered,Wherever found
630,Cycas micronesica,Fadang,R00P,P01,1,Threatened,Wherever found
631,Cycladenia humilis var. jonesii,Jones Cycladenia,Q1V7,P01,6,Threatened,Wherever found
632,Cyclargus ammon,Nickerbean Blue Butterfly,I0W6,I01,4,Similarity of Appearance to a Threatened Taxon,Wherever found
633,Cyclargus (=Hemiargus) thomasi bethunebakeri,Miami Blue Butterfly,I02Q,I01,4,Endangered,Wherever found
634,Cyclosorus boydiae,Kupukupu makalii,S02E,P01,1,Endangered,Wherever found
635,Cyclura carinata bartschi,Mayaguana iguana,C030,V01,Foreign,Threatened,Wherever found
636,Cyclura carinata carinata,Turks and Caicos iguana,C031,V01,Foreign,Threatened,Wherever found
637,Cyclura collei,Jamaican iguana,C02Z,V01,Foreign,Endangered,Wherever found
638,Cyclura cychlura cychlura,Andros Island ground iguana,C02U,V01,Foreign,Threatened,Wherever found
639,Cyclura cychlura figginsi,Exuma Island iguana,C02X,V01,Foreign,Threatened,Wherever found
640,Cyclura cychlura inornata,Allen's Cay iguana,C02T,V01,Foreign,Threatened,Wherever found
641,Cyclura lewisi,Grand Cayman ground iguana,C02Y,V01,Foreign,Endangered,Wherever found
642,Cyclura nubila caymanensis,Cayman Brac ground iguana,C02V,V01,Foreign,Threatened,Wherever found
643,Cyclura nubila nubila,Cuban ground iguana,C02W,V01,Foreign,Threatened,Cuba (excludes U.S. Puerto Rico population)
644,Cyclura pinguis,Anegada ground iguana,C00C,V01,Foreign,Endangered,Wherever found
645,Cyclura rileyi cristata,White Cay ground iguana,C033,V01,Foreign,Threatened,Wherever found
646,Cyclura rileyi nuchalis,Acklins ground iguana,C02S,V01,Foreign,Threatened,Wherever found
647,Cyclura rileyi rileyi,Watling Island ground iguana,C032,V01,Foreign,Endangered,Wherever found
648,Cyclura stejnegeri,Mona ground Iguana,C01R,V01,4,Threatened,Wherever found
649,Cynomys mexicanus,Mexican prairie dog,A022,V01,Foreign,Endangered,Mexico
650,Cynomys parvidens,Utah prairie dog,A04A,V01,6,Threatened,Wherever found
651,Cynoscion macdonaldi,Totoaba (seatrout or weakfish),E01W,V01,Foreign,Endangered,Wherever found
652,Cyperus fauriei,No common name,Q35R,P01,1,Endangered,Wherever found
653,Cyperus neokunthianus,No common name,Q35S,P01,1,Endangered,Wherever found
654,Cyperus pennatiformis,No common name,Q2Q0,P01,1,Endangered,Wherever found
655,Cyperus trachysanthos,Pu`uka`a,Q321,P01,1,Endangered,Wherever found
656,Cyprinella caerulea,Blue shiner,E05Y,V01,4,Threatened,Wherever found
657,Cyprinella formosa,Beautiful shiner,E04B,V01,2,Threatened,Wherever found
658,Cyprinodon bovinus,Leon Springs pupfish,E023,V01,2,Endangered,Wherever found
659,Cyprinodon diabolis,Devils Hole pupfish,E009,V01,8,Endangered,Wherever found
660,Cyprinodon elegans,Comanche Springs pupfish,E008,V01,2,Endangered,Wherever found
661,Cyprinodon macularius,Desert pupfish,E044,V01,2,Endangered,Wherever found
662,Cyprinodon nevadensis mionectes,Ash Meadows Amargosa pupfish,E042,V01,8,Endangered,Wherever found
663,Cyprinodon nevadensis pectoralis,Warm Springs pupfish,E00W,V01,8,Endangered,Wherever found
664,Cyprinodon radiosus,Owens pupfish,E00A,V01,8,Endangered,Wherever found
665,Cyprogenia stegaria,Fanshell,F02H,I01,4,Endangered,Wherever found
666,Cyrtandra crenata,Ha`iwale,Q28B,P01,1,Endangered,Wherever found
667,Cyrtandra cyaneoides,Mapele,Q322,P01,1,Endangered,Wherever found
668,Cyrtandra dentata,Ha`iwale,Q0JV,P01,1,Endangered,Wherever found
669,Cyrtandra ferripilosa,haiwale,Q3NY,P01,1,Endangered,Wherever found
670,Cyrtandra filipes,Ha`iwale,Q2SY,P01,1,Endangered,Wherever found
671,Cyrtandra giffardii,Ha`iwale,Q28C,P01,1,Endangered,Wherever found
672,Cyrtandra gracilis,Haiwale,Q28D,P01,1,Endangered,Wherever found
673,Cyrtandra hematos,Ha`iwale,Q323,P01,1,Endangered,Wherever found
674,Cyrtandra kaulantha,Ha`iwale,Q0KJ,P01,1,Endangered,Wherever found
675,Cyrtandra limahuliensis,Ha`iwale,Q326,P01,1,Threatened,Wherever found
676,Cyrtandra munroi,Ha`iwale,Q28I,P01,1,Endangered,Wherever found
677,Cyrtandra nanawaleensis,haiwale,Q3OB,P01,1,Endangered,Wherever found
678,Cyrtandra oenobarba,Ha`iwale,Q0KX,P01,1,Endangered,Wherever found
679,Cyrtandra oxybapha,Ha`iwale,Q32A,P01,1,Endangered,Wherever found
680,Cyrtandra paliku,Haiwale,Q3MU,P01,1,Endangered,Wherever found
681,Cyrtandra polyantha,Ha`iwale,Q1V8,P01,1,Endangered,Wherever found
682,Cyrtandra sessilis,Ha`iwale,Q32B,P01,1,Endangered,Wherever found
683,Cyrtandra subumbellata,Ha`iwale,Q1V9,P01,1,Endangered,Wherever found
684,Cyrtandra tintinnabula,Ha`iwale,Q32C,P01,1,Endangered,Wherever found
685,Cyrtandra viridiflora,Ha`iwale,Q32D,P01,1,Endangered,Wherever found
686,Cyrtandra wagneri,haiwale,Q3OC,P01,1,Endangered,Wherever found
687,Cyrtandra waiolani,Haiwale,Q0LK,P01,1,Endangered,Wherever found
688,Cyrtodactylus serpensinsula,Serpent Island gecko,C02R,V01,Foreign,Threatened,Wherever found
689,Cyrtonaias tampicoensis tecomatensis,Tampico pearlymussel,F00Z,I01,Foreign,Endangered,Wherever found
690,Cyrtonyx montezumae merriami,Merriam's Montezuma quail,B05K,V01,Foreign,Endangered,Wherever found
691,Dalea carthagenensis floridana,Florida prairie-clover,Q3HL,P01,4,Endangered,Wherever found
692,Dalea foliosa,Leafy prairie-clover,Q28M,P01,4,Endangered,Wherever found
693,Damaliscus pygarus (=dorcas) dorcas,Bontebok,A04T,V01,Foreign,Endangered,Wherever found
694,Dama mesopotamica (=dama m.),Persian fallow deer,A00X,V01,Foreign,Endangered,Wherever found
695,Daphnopsis hellerana,No common name,Q28N,P01,4,Endangered,Wherever found
696,Dasyornis broadbenti littoralis,Western rufous bristlebird,B04Q,V01,Foreign,Endangered,Wherever found
697,Dasyornis longirostris (=brachypterus I.),Western bristlebird,B010,V01,Foreign,Endangered,Wherever found
698,Dasyurus viverrinus,Eastern native-cat,A049,V01,Foreign,Endangered,Wherever found
699,Daubentonia madagascariensis,Aye-aye,A00P,V01,Foreign,Endangered,Wherever found
700,Deeringothamnus pulchellus,Beautiful pawpaw,Q28O,P01,4,Endangered,Wherever found
701,Deeringothamnus rugelii,Rugel's pawpaw,Q28P,P01,4,Endangered,Wherever found
702,Deinandra (=Hemizonia) conjugens,Otay tarplant,Q0YQ,P01,8,Threatened,Wherever found
703,Deinandra increscens ssp. villosa,Gaviota Tarplant,Q340,P01,8,Endangered,Wherever found
704,Delissea rhytidosperma,No common name,Q1VA,P01,1,Endangered,Wherever found
705,Delissea subcordata,Oha,Q1VB,P01,1,Endangered,Wherever found
706,Delissea undulata,No common name,Q0LX,P01,1,Endangered,Wherever found
707,Delphinapterus leucas,beluga whale,A0K5,V01,NMFS,Endangered,Cook Inlet DPS See 50 CFR 224.101
708,Delphinium bakeri,Baker's larkspur,Q0LZ,P01,8,Endangered,Wherever found
709,Delphinium luteum,Yellow larkspur,Q0M2,P01,8,Endangered,Wherever found
710,Delphinium variegatum ssp. kinkiense,San Clemente Island larkspur,Q1VC,P01,8,Endangered,Wherever found
711,Deltistes luxatus,Lost River sucker,E052,V01,8,Endangered,Wherever found
712,Dendrobium guamense,No common name,Q3OV,P01,1,Threatened,Wherever found
713,Dendrogyra cylindrus,Pillar Coral,P002,I01,NMFS,Threatened,Wherever found
714,Dendroica chrysoparia,Golden-cheeked warbler (=wood),B07W,V01,2,Endangered,Wherever found
715,Dendroica petechia petechia,Barbados yellow warbler (=wood),B03H,V01,Foreign,Endangered,Wherever found
716,Deparia kaalaana,No common name,S02L,P01,1,Endangered,Wherever found
717,Dermatemys mawii,Central American river turtle,C04H,V01,Foreign,Endangered,Wherever found
718,Dermochelys coriacea,Leatherback sea turtle,C00F,V01,4,Endangered,Wherever found
719,Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,I01L,I01,8,Threatened,Wherever found
720,Dicerandra christmanii,Garrett's mint,Q2RL,P01,4,Endangered,Wherever found
721,Dicerandra cornutissima,Longspurred mint,Q2OH,P01,4,Endangered,Wherever found
722,Dicerandra frutescens,Scrub mint,Q1VE,P01,4,Endangered,Wherever found
723,Dicerandra immaculata,Lakela's mint,Q1VF,P01,4,Endangered,Wherever found
724,Dicerorhinus sumatrensis,Sumatran rhinoceros,A026,V01,Foreign,Endangered,Wherever found
725,Diceros bicornis,Black rhinoceros,A081,V01,Foreign,Endangered,Sub-Saharan Africa
726,Digitaria pauciflora,Florida pineland crabgrass,Q1VG,P01,4,Threatened,Wherever found
727,Dinacoma caseyi,Casey's June Beetle,I0TG,I01,8,Endangered,Wherever found
728,Diomedia amsterdamensis,Amsterdam Albatross,B09J,V01,Foreign,Endangered,Wherever found
729,Dionda diaboli,Devils River minnow,E03V,V01,2,Threatened,Wherever found
730,Diplacus vandenbergensis,Vandenberg monkeyflower,Q3NC,P01,8,Endangered,Wherever found
731,Diplazium molokaiense,No common name,S00R,P01,1,Endangered,Wherever found
732,Dipodomys heermanni morroensis,Morro Bay kangaroo rat,A03X,V01,8,Endangered,Wherever found
733,Dipodomys ingens,Giant kangaroo rat,A08P,V01,8,Endangered,Wherever found
734,Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,A0G8,V01,8,Endangered,Wherever found
735,Dipodomys nitratoides exilis,Fresno kangaroo rat,A08O,V01,8,Endangered,Wherever found
736,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,A08S,V01,8,Endangered,Wherever found
737,Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,A08Q,V01,8,Endangered,Wherever found
738,Discoglossus nigriventer,Israel painted frog,D002,V01,Foreign,Endangered,Wherever found
739,Discus macclintocki,Iowa Pleistocene snail,G00T,I01,3,Endangered,Wherever found
740,Dodecahema leptoceras,Slender-horned spineflower,Q2T6,P01,8,Endangered,Wherever found
741,Doryopteris angelica,No common name,S02H,P01,1,Endangered,Wherever found
742,Doryopteris takeuchii,No common name,S028,P01,1,Endangered,Wherever found
743,Drepanis coccinea,`I`iwi,B0GU,V01,1,Threatened,Wherever found
744,Drepanoptila holosericea,Cloven-feathered dove,B01B,V01,Foreign,Endangered,Wherever found
745,Dromus dromas,Dromedary pearlymussel,F00K,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
746,Drosophila aglaia,Hawaiian picture-wing fly,I0QW,I01,1,Endangered,Wherever found
747,Drosophila differens,Hawaiian picture-wing fly,I0RE,I01,1,Endangered,Wherever found
748,Drosophila digressa,Hawaiian picture-wing fly,I0QY,I01,1,Endangered,Wherever found
749,Drosophila hemipeza,Hawaiian picture-wing fly,I0RC,I01,1,Endangered,Wherever found
750,Drosophila heteroneura,Hawaiian picture-wing fly,I0QZ,I01,1,Endangered,Wherever found
751,Drosophila montgomeryi,Hawaiian picture-wing fly,I0R0,I01,1,Endangered,Wherever found
752,Drosophila mulli,Hawaiian picture-wing fly,I0R1,I01,1,Threatened,Wherever found
753,Drosophila musaphilia,Hawaiian picture-wing fly,I0R2,I01,1,Endangered,Wherever found
754,Drosophila neoclavisetae,Hawaiian picture-wing fly,I0R3,I01,1,Endangered,Wherever found
755,Drosophila obatai,Hawaiian picture-wing fly,I0R4,I01,1,Endangered,Wherever found
756,Drosophila ochrobasis,Hawaiian picture-wing fly,I0RD,I01,1,Endangered,Wherever found
757,Drosophila sharpi,Hawaiian picture-wing fly,I0QX,I01,1,Endangered,Wherever found
758,Drosophila substenoptera,Hawaiian picture-wing fly,I0R5,I01,1,Endangered,Wherever found
759,Drosophila tarphytrichia,Hawaiian picture-wing fly,I0R6,I01,1,Endangered,Wherever found
760,Drymarchon corais couperi,Eastern indigo snake,C026,V01,4,Threatened,Wherever found
761,Dryocopus javensis richardsi,Tristam's woodpecker,B03R,V01,Foreign,Endangered,Wherever found
762,Dryopteris crinalis var. podosorus,Palapalai aumakua,S02I,P01,1,Endangered,Wherever found
763,Dryopteris glabra var. pusilla,Hohiu,S029,P01,1,Endangered,Wherever found
764,Dubautia herbstobatae,Na`ena`e,Q2T8,P01,1,Endangered,Wherever found
765,Dubautia imbricata ssp. imbricata,Na`ena`e,Q32N,P01,1,Endangered,Wherever found
766,Dubautia kalalauensis,Naenae,Q3MV,P01,1,Endangered,Wherever found
767,Dubautia kenwoodii,Naenae,Q3MW,P01,1,Endangered,Wherever found
768,Dubautia latifolia,Koholapehu,Q1VK,P01,1,Endangered,Wherever found
769,Dubautia pauciflorula,Na`ena`e,Q32P,P01,1,Endangered,Wherever found
770,Dubautia plantaginea ssp. humilis,Na`ena`e,Q32Q,P01,1,Endangered,Wherever found
771,Dubautia plantaginea ssp. magnifolia,Na`ena`e,Q3H3,P01,1,Endangered,Wherever found
772,Dubautia waialealae,Na`ena`e,Q0O6,P01,1,Endangered,Wherever found
773,Ducula galeata,Marquesas pigeon,B0CT,V01,Foreign,Endangered,Wherever found
774,Ducula mindorensis,Mindoro imperial (=zone-tailed) pigeon,B05H,V01,Foreign,Endangered,Wherever found
775,Dudleya abramsii ssp. parva,Conejo dudleya,Q0O7,P01,8,Threatened,Wherever found
776,Dudleya cymosa ssp. marcescens,Marcescent dudleya,Q0OC,P01,8,Threatened,Wherever found
777,Dudleya cymosa ssp. ovatifolia,Santa Monica Mountains dudleyea,Q3AK,P01,8,Threatened,Wherever found
778,Dudleya nesiotica,Santa Cruz Island dudleya,Q0OF,P01,8,Threatened,Wherever found
779,Dudleya setchellii,Santa Clara Valley dudleya,Q32V,P01,8,Endangered,Wherever found
780,Dudleya stolonifera,Laguna Beach liveforever,Q0OH,P01,8,Threatened,Wherever found
781,Dudleya traskiae,Santa Barbara Island liveforever,Q1VT,P01,8,Endangered,Wherever found
782,Dudleya verityi,Verity's dudleya,Q2OM,P01,8,Threatened,Wherever found
783,Dugong dugon,Dugong,A033,V02,Foreign,Endangered,Wherever found
784,Echinacea laevigata,Smooth coneflower,Q293,P01,4,Endangered,Wherever found
785,Echinocactus horizonthalonius var. nicholii,Nichol's Turk's head cactus,Q1VV,P01,2,Endangered,Wherever found
786,Echinocereus chisoensis var. chisoensis,Chisos Mountain hedgehog Cactus,Q294,P01,2,Threatened,Wherever found
787,Echinocereus fendleri var. kuenzleri,Kuenzler hedgehog cactus,Q1VW,P01,2,Threatened,Wherever found
788,Echinocereus reichenbachii var. albertii,Black lace cactus,Q1VY,P01,2,Endangered,Wherever found
789,Echinocereus triglochidiatus var. arizonicus,Arizona hedgehog cactus,Q1VZ,P01,2,Endangered,Wherever found
790,Echinocereus viridiflorus var. davisii,Davis' green pitaya,Q1W0,P01,2,Endangered,Wherever found
791,Echinomastus erectocentrus var. acunensis,Acuna Cactus,Q0OU,P01,2,Endangered,Wherever found
792,Echinomastus mariposensis,Lloyd's Mariposa cactus,Q1W2,P01,2,Threatened,Wherever found
793,Egretta eulophotes,Chinese egret,B01G,V01,Foreign,Endangered,Wherever found
794,Elaphoglossum serpens,No common name,S01U,P01,4,Endangered,Wherever found
795,Elaphrus viridis,Delta green ground beetle,I01G,I01,8,Threatened,Wherever found
796,Elassoma alabamae,Spring pygmy sunfish,E05B,V01,4,Threatened,Wherever found
797,Elephas maximus,Asian elephant,A059,V01,Foreign,Endangered,Wherever found
798,Eleutherodactylus cooki,Guajon,D00X,V01,4,Threatened,Wherever found
799,Eleutherodactylus jasperi,Golden coqui,D00D,V01,4,Threatened,Wherever found
800,Eleutherodactylus juanariveroi,Llanero Coqui,D03V,V01,4,Endangered,Wherever found
801,Elimia crenatella,Lacy elimia (snail),G063,I01,4,Threatened,Wherever found
802,Elliptio chipolaensis,Chipola slabshell,F03O,I01,4,Threatened,Wherever found
803,Elliptio lanceolata,Yellow lance,F03I,I01,4,Threatened,Wherever found
804,Elliptio spinosa,Altamaha Spinymussel,F026,I01,4,Endangered,Wherever found
805,Elliptio steinstansana,Tar River spinymussel,F015,I01,4,Endangered,Wherever found
806,Elliptoideus sloatianus,Purple bankclimber (mussel),F02E,I01,4,Threatened,Wherever found
807,Emballonura semicaudata rotensis,Pacific sheath-tailed Bat,A0I9,V01,1,Endangered,Wherever found
808,Emballonura semicaudata semicaudata,Pacific sheath-tailed Bat,A0FO,V01,1,Endangered,American Samoa
809,Emoia slevini,Slevin's skink,C07T,V01,1,Endangered,Wherever found
810,Empetrichthys latos,Pahrump poolfish,E007,V01,8,Endangered,Wherever found
811,Empidonax euleri johnstonei,Euler's flycatcher,B01J,V01,Foreign,Endangered,Wherever found
812,Empidonax traillii extimus,Southwestern willow flycatcher,B094,V01,2,Endangered,Wherever found
813,Enceliopsis nudicaulis var. corrugata,Ash Meadows sunray,Q297,P01,8,Threatened,Wherever found
814,Enhydra lutris kenyoni,Northern Sea Otter,A0HK,V01,7,Threatened,"Southwest Alaska, from Attu Island to Western Cook Inlet, including Bristol Bay, the Kodiak Archipelago, and the Barren Islands"
815,Enhydra lutris nereis,Southern sea otter,A0A7,V01,8,Threatened,Wherever found
816,Epicrates inornatus,Puerto Rican boa,C00P,V01,4,Endangered,Wherever found
817,Epicrates monensis granti,Virgin Islands tree boa,C02E,V01,4,Endangered,Wherever found
818,Epicrates monensis monensis,Mona boa,C01Q,V01,4,Threatened,Wherever found
819,Epicrates subflavus,Jamaican boa,C003,V01,Foreign,Endangered,Wherever found
820,Epinephelus striatus,Nassau grouper,E0DA,V01,NMFS,Threatened,Entire
821,Epioblasma brevidens,Cumberlandian combshell,F01F,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
822,Epioblasma capsaeformis,Oyster mussel,F01T,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
823,Epioblasma florentina curtisii,Curtis pearlymussel,F00J,I01,3,Endangered,Wherever found
824,Epioblasma florentina florentina,Yellow blossom (pearlymussel),F005,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
825,Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,F010,I01,4,Endangered,Wherever found
826,Epioblasma metastriata,Upland combshell,F02F,I01,4,Endangered,Wherever found
827,Epioblasma obliquata obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),F006,I01,3,Endangered,Wherever found; Except where listed as Experimental Populations
828,Epioblasma obliquata perobliqua,White catspaw (pearlymussel),F007,I01,3,Endangered,Wherever found
829,Epioblasma othcaloogensis,Southern acornshell,F02D,I01,4,Endangered,Wherever found
830,Epioblasma penita,Southern combshell,F012,I01,4,Endangered,Wherever found
831,Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),F002,I01,4,Endangered,Wherever found
832,Epioblasma torulosa rangiana,Northern riffleshell,F02Z,I01,5,Endangered,Wherever found
833,Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),F003,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
834,Epioblasma triquetra,Snuffbox mussel,F03J,I01,3,Endangered,Wherever found
835,Epioblasma turgidula,Turgid blossom (pearlymussel),F004,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
836,Equus africanus,African wild ass,A00M,V01,Foreign,Endangered,Wherever found
837,Equus grevyi,Grevy's zebra,A077,V01,Foreign,Threatened,Wherever found
838,Equus hemionus,Asian wild ass,A00N,V01,Foreign,Endangered,Wherever found
839,Equus przewalskii,Przewalski's horse,A05E,V01,Foreign,Endangered,Wherever found
840,Equus zebra hartmannae,Hartmann's mountain zebra,A078,V01,Foreign,Threatened,Wherever found
841,Equus zebra ssp. zebra,Cape Mountain zebra,A0LA,V01,Foreign,Endangered,Entire
842,Equus zebra zebra,Mountain zebra,A06A,V01,Foreign,Endangered,Wherever found
843,Eragrostis fosbergii,Fosberg's love grass,Q0PH,P01,1,Endangered,Wherever found
844,Eremalche kernensis,Kern mallow,Q2TD,P01,8,Endangered,Wherever found
845,Eremichthys acros,Desert dace,E03C,V01,8,Threatened,Wherever found
846,Eremophila alpestris strigata,Streaked Horned lark,B0B3,V01,1,Threatened,Wherever found
