Peromyscus polionotus allophrys,"Mouse, Choctawhatchee beach",Endangered
Pseudomys fieldi,"Mouse, Field's",Endangered
Pseudomys gouldii,"Mouse, Gould's",Endangered
Peromyscus gossypinus allapaticola,"Mouse, Key Largo cotton",Endangered
Pseudomys novaehollandiae,"Mouse, New Holland",Endangered
Zapus hudsonius luteus,"Mouse, New Mexico meadow jumping",Endangered
Perognathus longimembris pacificus,"Mouse, Pacific pocket",Endangered
Peromyscus polionotus trissyllepsis,"Mouse, Perdido Key beach",Endangered
Zapus hudsonius preblei,"Mouse, Preble's meadow jumping",Threatened
Reithrodontomys raviventris,"Mouse, salt marsh harvest",Endangered
Pseudomys praeconis,"Mouse, Shark Bay",Endangered
Pseudomys shortridgei,"Mouse, Shortridge's",Endangered
Pseudomys fumeus,"Mouse, smoky",Endangered
Peromyscus polionotus niveiventris,"Mouse, southeastern beach",Threatened
Peromyscus polionotus peninsularis,"Mouse, St. Andrew beach",Endangered
Pseudomys occidentalis,"Mouse, western",Endangered
Muntiacus feae,"Muntjac, Fea's",Endangered
Dasyurus viverrinus,"Native-cat, eastern",Endangered
Myrmecobius fasciatus,Numbat,Endangered
Leopardus (=Felis) pardalis,Ocelot,Endangered
Pongo pygmaeus,Orangutan,Endangered
Oryx leucoryx,"Oryx, Arabian",Endangered
Oryx dammah,"Oryx, scimitar-horned",Endangered
Aonyx congicus (=congica) microdon,"Otter, Cameroon clawless",Endangered
Pteronura brasiliensis,"Otter, giant",Endangered
Lontra (=Lutra) longicaudis (incl. platensis ),"Otter, long-tailed",Endangered
Lontra (=Lutra) felina,"Otter, marine",Endangered
Enhydra lutris kenyoni,"Otter, northern sea [Southwest Alaska DPS]",Threatened
Lontra (=Lutra) provocax,"Otter, southern river",Endangered
Enhydra lutris nereis,"Otter, southern sea",Threatened
Ailuropoda melanoleuca,"Panda, giant",Endangered
Manis temmincki,"Pangolin, Temnick's ground",Endangered
Puma (=Felis) concolor coryi,"Panther, Florida",Endangered
Planigale ingrami subtilissima,"Planigale, little",Endangered
Planigale tenuirostris,"Planigale, southern",Endangered
Thomomys mazama pugetensis,"Pocket gopher, Olympia",Threatened
Thomomys mazama glacialis,"Pocket gopher, Roy Prairie",Threatened
Thomomys mazama tumuli,"Pocket gopher, Tenino",Threatened
Thomomys mazama yelmensis,"Pocket gopher, Yelm",Threatened
Chaetomys subspinosus,"Porcupine, thin-spined",Endangered
Phocoena sinus,"Porpoise, Gulf of California harbor (cochito, vaquita)",Endangered
Gymnobelideus leadbeateri,"Possum, Leadbeater's",Endangered
Burramys parvus,"Possum, mountain pygmy",Endangered
Wyulda squamicaudata,"Possum, scaly-tailed",Endangered
Cynomys mexicanus,"Prairie dog, Mexican",Endangered
Cynomys parvidens,"Prairie dog, Utah",Threatened
Antilocapra americana peninsularis,"Pronghorn, peninsular",Endangered
Antilocapra americana sonoriensis,"Pronghorn, Sonoran",Endangered
Antilocapra americana sonoriensis,"Pronghorn, Sonoran",XN
Pudu pudu,Pudu,Endangered
Puma (=Felis) concolor (all subsp. except coryi ),Puma (=mountain lion),T(S/A)
Puma (=Felis) concolor costaricensis,"Puma, Costa Rican",Endangered
Setonix brachyurus,Quokka,Endangered
Brachylagus idahoensis,"Rabbit, Columbia Basin pygmy [Columbia Basin DPS]",Endangered
Sylvilagus palustris hefneri,"Rabbit, Lower Keys",Endangered
Sylvilagus bachmani riparius,"Rabbit, riparian brush",Endangered
Pentalagus furnessi,"Rabbit, Ryukyu",Endangered
Romerolagus diazi,"Rabbit, volcano",Endangered
Xeromys myoides,"Rat, false water",Endangered
Leporillus conditor,"Rat, stick-nest",Endangered
Bettongia penicillata,"Rat-kangaroo, brush-tailed",Endangered
Caloprymnus campestris,"Rat-kangaroo, desert (=plain)",Endangered
Bettongia gaimardi,"Rat-kangaroo, Gaimard's",Endangered
Bettongia lesueur,"Rat-kangaroo, Lesuer's",Endangered
Bettongia tropica,"Rat-kangaroo, Queensland",Endangered
Diceros bicornis,"Rhinoceros, black",Endangered
Rhinoceros unicornis,"Rhinoceros, great Indian",Endangered
Rhinoceros sondaicus,"Rhinoceros, Javan",Endangered
Ceratotherium simum cottoni,"Rhinoceros, northern white",Endangered
Ceratotherium simum simum,"Rhinoceros, southern white",T(S/A)
Dicerorhinus sumatrensis,"Rhinoceros, Sumatran",Endangered
Oryzomys palustris natator,Rice rat [Lower FL Keys DPS],Endangered
Saiga tatarica mongolica,"Saiga, Mongolian (antelope)",Endangered
Chiropotes satanas satanas,"Saki, southern bearded",Endangered
Chiropotes albinasus,"Saki, white-nosed",Endangered
Eumetopias jubatus,"Sea lion, Steller [Western DPS]",Endangered
Erignathus barbatus nauticus,"Seal, bearded [Beringia DPS]",Threatened
Erignathus barbatus nauticus,"Seal, bearded [Okhotsk DPS]",Threatened
